class,path,name,rank,cves
exploits,exploits/multi/http/jenkins_metaprogramming,"Jenkins ACL Bypass and Metaprogramming RCE",excellent,CVE-2018-1000408;CVE-2019-1003000
exploits,exploits/multi/http/microfocus_obm_auth_rce,"Micro Focus Operations Bridge Manager Authenticated Remote Code Execution",excellent,
exploits,exploits/multi/http/mantisbt_manage_proj_page_rce,"Mantis manage_proj_page PHP Code Execution",excellent,
exploits,exploits/multi/http/langflow_unauth_rce_cve_2025_3248,"Langflow AI RCE",excellent,
exploits,exploits/multi/http/apache_apisix_api_default_token_rce,"APISIX Admin API default access token RCE",excellent,CVE-2022-24112
exploits,exploits/multi/http/splunk_upload_app_exec,"Splunk Custom App Remote Code Execution",good,
exploits,exploits/multi/http/wso2_file_upload_rce,"WSO2 Arbitrary File Upload to RCE",excellent,CVE-2022-29464
exploits,exploits/multi/http/wp_backup_migration_php_filter,"WordPress Backup Migration Plugin PHP Filter Chain RCE",excellent,CVE-2023-6553
exploits,exploits/multi/http/cmsms_object_injection_rce,"CMS Made Simple Authenticated RCE via object injection",normal,
exploits,exploits/multi/http/ubiquiti_unifi_log4shell,"UniFi Network Application Unauthenticated JNDI Injection RCE (via Log4Shell)",excellent,
exploits,exploits/multi/http/xerte_unauthenticated_mediaupload,"Xerte Online Toolkits Arbitrary File Upload - Unauthenticated Media Upload",excellent,
exploits,exploits/multi/http/magento_sessionreaper,"Magento SessionReaper",excellent,CVE-2025-54236
exploits,exploits/multi/http/jira_hipchat_template,"jira_hipchat_template",excellent,
exploits,exploits/multi/http/phpldapadmin_query_engine,"phpLDAPadmin query_engine Remote PHP Code Injection",excellent,
exploits,exploits/multi/http/phptax_exec,"phptax_exec",excellent,
exploits,exploits/multi/http/visual_mining_netcharts_upload,"Visual Mining NetCharts Server Remote Code Execution",excellent,
exploits,exploits/multi/http/vmware_vcenter_uploadova_rce,"VMware vCenter Server Unauthenticated OVA File Upload RCE",manual,
exploits,exploits/multi/http/horde_href_backdoor,"Horde 3.3.12 Backdoor Arbitrary PHP Code Execution",excellent,CVE-2012-0209
exploits,exploits/multi/http/pimcore_unserialize_rce,"pimcore_unserialize_rce",normal,
exploits,exploits/multi/http/flowise_custommcp_rce,"Flowise Custom MCP Remote Code Execution",excellent,
exploits,exploits/multi/http/struts_default_action_mapper,"Apache Struts 2 DefaultActionMapper Prefixes OGNL Code Execution",excellent,
exploits,exploits/multi/http/opmanager_sumpdu_deserialization,"ManageEngine OpManager SumPDU Java Deserialization",excellent,CVE-2020-28653;CVE-2021-3287
exploits,exploits/multi/http/apache_ofbiz_forgot_password_directory_traversal,"Apache OFBiz forgotPassword/ProgramExport RCE",excellent,CVE-2024-32113;CVE-2024-38856
exploits,exploits/multi/http/apache_couchdb_erlang_rce,"Apache Couchdb Erlang RCE",excellent,CVE-2022-24706
exploits,exploits/multi/http/spip_rce_form,"SPIP form PHP Injection",excellent,
exploits,exploits/multi/http/gogs_rebase_rce,"Gogs Git Rebase Argument Injection RCE",excellent,
exploits,exploits/multi/http/mediawiki_syntaxhighlight,"MediaWiki SyntaxHighlight extension option injection vulnerability",good,
exploits,exploits/multi/http/phpmyadmin_null_termination_exec,"phpMyAdmin Authenticated Remote Code Execution",excellent,
exploits,exploits/multi/http/moodle_admin_shell_upload,"Moodle Admin Shell Upload",excellent,
exploits,exploits/multi/http/rails_web_console_v2_code_exec,"Ruby on Rails Web Console (v2) Whitelist Bypass Code Execution",excellent,
exploits,exploits/multi/http/dotcms_file_upload_rce,"DotCMS RCE via Arbitrary File Upload.",excellent,
exploits,exploits/multi/http/apache_jetspeed_file_upload,"Apache Jetspeed Arbitrary File Upload",manual,CVE-2016-0709;CVE-2016-0710
exploits,exploits/multi/http/shiro_rememberme_v124_deserialize,"Apache Shiro v1.2.4 Cookie RememberME Deserial RCE",excellent,
exploits,exploits/multi/http/processmaker_exec,"processmaker_exec",excellent,
exploits,exploits/multi/http/mutiny_subnetmask_exec,"Mutiny Remote Command Execution",excellent,
exploits,exploits/multi/http/mybb_rce_cve_2022_24734,"MyBB Admin Control Code Injection RCE",excellent,CVE-2022-24734
exploits,exploits/multi/http/clinic_pms_sqli_to_rce,"Clinic's Patient Management System 1.0 - Unauthenticated RCE",excellent,CVE-2022-2297;CVE-2022-40471;CVE-2025-3096
exploits,exploits/multi/http/connectwise_screenconnect_rce_cve_2024_1709,"ConnectWise ScreenConnect Unauthenticated Remote Code Execution",excellent,CVE-2024-1708
exploits,exploits/multi/http/gitlab_file_read_rce,"GitLab File Read Remote Code Execution",excellent,
exploits,exploits/multi/http/metasploit_static_secret_key_base,"Metasploit Web UI Static secret_key_base Value",excellent,
